"post_id","date","time","post_type","post_text","link_needed","link_url","approved","note"
"x_bb_d01_1","2026-06-28","08:10","本音共感","母からの返信が、昼を過ぎても来ない。
仕事の手を止めて、また画面を見てしまう。
大丈夫だと分かってる。
その「分かってる」が、いちばん効かない。","false","","false","人間がapproved=trueにしたものだけ投稿対象。1回1投稿/1日最大5/appリンクは1日1本以下/アフィリ直接禁止"
"x_bb_d01_4","2026-06-28","20:15","本音共感","「返信遅くてごめん」と母から来た。
こっちは何時間も心配していたのに、
向こうは普通に畑にいただけ。
この温度差に、毎回ひとりで疲れている。","false","","false","人間がapproved=trueにしたものだけ投稿対象。1回1投稿/1日最大5/appリンクは1日1本以下/アフィリ直接禁止"
"x_bb_d04_1","2026-07-01","08:10","本音共感","親に「心配してる」って、なかなか言えない。
照れくさくて、つい「元気?」にすり替える。
本当に伝えたいのは、いつもその一言なのに。","false","","false","人間がapproved=trueにしたものだけ投稿対象。1回1投稿/1日最大5/appリンクは1日1本以下/アフィリ直接禁止"
"x_bb_d05_1","2026-07-02","08:10","本音共感","毎日電話したい。でも毎日はできない。
この「でも」に、みんな少しずつ罪悪感を抱えている気がする。","false","","false","人間がapproved=trueにしたものだけ投稿対象。1回1投稿/1日最大5/appリンクは1日1本以下/アフィリ直接禁止"
"x_bb_d06_2","2026-07-03","12:15","本音共感","親を心配しすぎる自分が、たまに嫌になる。
「気にしすぎ」と言われると、何も言えなくなる。
でも、気にせずにはいられない。","false","","false","人間がapproved=trueにしたものだけ投稿対象。1回1投稿/1日最大5/appリンクは1日1本以下/アフィリ直接禁止"
"x_bb_d08_4","2026-07-05","20:15","本音共感","久しぶりに聞いた母の声が、少し小さくなっていた。
それだけで、その夜は眠りが浅かった。","false","","false","人間がapproved=trueにしたものだけ投稿対象。1回1投稿/1日最大5/appリンクは1日1本以下/アフィリ直接禁止"
"x_bb_d10_2","2026-07-07","12:15","本音共感","帰省の最終日、車を出すとき。
ミラーの中で、ずっと手を振る母が小さくなっていく。
あの景色だけは、何年経っても慣れない。","false","","false","人間がapproved=trueにしたものだけ投稿対象。1回1投稿/1日最大5/appリンクは1日1本以下/アフィリ直接禁止"
"x_bb_d10_4","2026-07-07","20:15","本音共感","実家の冷蔵庫を開けたら、私の好物だけが妙に多かった。
「来るかもしれないから」と母。
何も言えなくなった。","false","","false","人間がapproved=trueにしたものだけ投稿対象。1回1投稿/1日最大5/appリンクは1日1本以下/アフィリ直接禁止"
"x_bb_d14_1","2026-07-11","08:10","本音共感","夜、ふと実家の灯りを思い出すことがある。
まだ起きてるかな、もう寝たかな。
その想像だけで、少し近くに感じる。","false","","false","人間がapproved=trueにしたものだけ投稿対象。1回1投稿/1日最大5/appリンクは1日1本以下/アフィリ直接禁止"
"x_bb_d14_4","2026-07-11","20:15","本音共感","深夜にスマホが光った。実家からだ。
一瞬、心臓が止まりかけた。
「寝てた? ごめん、間違えた」。
…生きてるなら、それでいい。","false","","false","人間がapproved=trueにしたものだけ投稿対象。1回1投稿/1日最大5/appリンクは1日1本以下/アフィリ直接禁止"
