"post_id","date","platform","post_type","recommended_time","post_text","image_needed","canva_needed","canva_prompt","image_filename","link_required","reply_text","note"
"x_20260624_1","2026-06-24","X","morning_empathy","08:10","「おはよう」だけのメッセージに、意味なんてなくていい。
母から返る短いスタンプひとつで、今日も大丈夫だと分かる。
それで、十分なんだと思う。","false","false","","","false","","テキストのみ／画像なし／リプライなし。"
"x_20260624_2","2026-06-24","X","practical_tip","12:15","親への連絡は、長文より一言のほうが続く。
「いま駅に着いた」くらいの軽さでいい。
返信を求めない一言なら、親も気楽に受け取れる。","false","false","","","false","","テキストのみ／画像なし／リプライなし。"
"x_20260624_3","2026-06-24","X","checklist_or_question","16:45","見守りを始めるのに、特別なきっかけはいらない。
・親の声が少し小さくなった
・帰省の回数が減った
・なんとなく気になる
ひとつでも当てはまれば、もう十分なタイミング。","false","false","","","false","","テキストのみ／画像なし／リプライなし。"
"x_20260624_4","2026-06-24","X","emotional_painting","20:15","スマホに「今日も大丈夫」とひとこと。
それだけで、夜の心配がすっとほどける日がある。
離れていても、つながっていられる。","true","true","夜の都市の部屋で子ども世代がスマホを見ると、画面に小さく『今日も大丈夫』。遠景に実家の灯り。親子をつなぐやさしい光。 上品な日本向け絵画調、映画的で温かい光、漫画/アニメ調にしない。深緑・薄緑・クリーム・暖色の光。大きな文字/ロゴ/ブランド名は入れない。1080x1080。","day01_emotional_painting.png","false","","画像添付: day01_emotional_painting.png ／ 詳細: canva-prompts/individual/day01_emotional_painting_prompt.md ／ リプライなし"
"x_20260624_5","2026-06-24","X","soft_cta","22:30","見守りという言葉が、少し重く感じる人もいる。
でも本当は、見張ることじゃなくて「元気でいてね」を確かめるだけ。
もっと気楽でいい。","false","false","","","false","離れて暮らす母・父を、無理なく見守る方法を発信しています。
https://www.oyamimamori.jp/app/","ソフト誘導。本文にリンクは入れず、リプライにサイト/appを記載。"
"x_20260625_1","2026-06-25","X","morning_empathy","08:10","毎朝かけられたら理想だけど、現実は仕事に追われて終わる。
だからせめて、通勤の途中にひとことだけ。
「いってきます」を、親にも送ってみる。","false","false","","","false","","テキストのみ／画像なし／リプライなし。"
"x_20260625_2","2026-06-25","X","practical_tip","12:15","スマホが苦手な親には、新しい使い方を増やすより、
「この一個だけ押せばいい」に絞るのがいい。
選択肢が少ないほど、続けてくれる。","false","false","","","false","","テキストのみ／画像なし／リプライなし。"
"x_20260625_3","2026-06-25","X","checklist_or_question","16:45","実家の朝は、何時に始まるか知っていますか。
・カーテンを開ける時間
・新聞を取りに出る時間
生活リズムを知っておくと、変化にも気づける。","false","false","","","false","","テキストのみ／画像なし／リプライなし。"
"x_20260625_4","2026-06-25","X","emotional_painting","20:15","父が電話に出ない。
用事はない、ただ声が聞きたかっただけ。
かけ直してくるその一言を、なんとなく待っている夜。","true","true","夜の部屋で子ども世代がスマホの発信画面を見て少し心配。遠景の実家で父が静かにお茶。何も起きていないが離れゆえの小さな不安。 上品な日本向け絵画調、映画的で温かい光、漫画/アニメ調にしない。深緑・薄緑・クリーム・暖色の光。大きな文字/ロゴ/ブランド名は入れない。1080x1080。","day02_emotional_painting.png","false","","画像添付: day02_emotional_painting.png ／ 詳細: canva-prompts/individual/day02_emotional_painting_prompt.md ／ リプライなし"
"x_20260625_5","2026-06-25","X","app_cta","22:30","毎日電話するのは、お互いしんどい。
でも「今日も元気」のひとことだけなら、負担なく続けられる。
そんな見守りのかたちをまとめています。
https://www.oyamimamori.jp/app/","false","false","","","true","","本日のapp導線（本文にリンク）。CTA文言は日替わり。アプリ名は出しすぎない。"
"x_20260626_1","2026-06-26","X","morning_empathy","08:10","母からの返信が、昼を過ぎても来ない。
たいてい、ただ出かけているだけ。
そう分かっていても、既読がつくまで少しそわそわする。","false","false","","","false","","テキストのみ／画像なし／リプライなし。"
"x_20260626_2","2026-06-26","X","practical_tip","12:15","「元気?」と聞くより、こちらの近況を送るほうが返事は来やすい。
「桜が咲いたよ」の一枚に、母は長文で返してきたりする。","false","false","","","false","","テキストのみ／画像なし／リプライなし。"
"x_20260626_3","2026-06-26","X","checklist_or_question","16:45","親に「心配だよ」と、素直に言えますか。
照れくさくて、つい「元気?」にすり替えてしまう。
でも本当は、その一言がいちばん伝わる。","false","false","","","false","","テキストのみ／画像なし／リプライなし。"
"x_20260626_4","2026-06-26","X","emotional_painting","20:15","帰り道、実家の方角の空をふと見上げる。
あの窓にも、今日も明かりがついているだろうか。
灯っている、それだけで安心できる。","true","true","夜、実家の窓に温かい明かり。離れて暮らす子ども世代が外からふと見上げ、安心する。家の中で親が穏やかに過ごす。 上品な日本向け絵画調、映画的で温かい光、漫画/アニメ調にしない。深緑・薄緑・クリーム・暖色の光。大きな文字/ロゴ/ブランド名は入れない。1080x1080。","day03_emotional_painting.png","false","","画像添付: day03_emotional_painting.png ／ 詳細: canva-prompts/individual/day03_emotional_painting_prompt.md ／ リプライなし"
"x_20260626_5","2026-06-26","X","soft_cta","22:30","親孝行って、旅行や贈り物じゃなくてもいい。
週に一度、声を聞くだけでも立派な親孝行だと思う。
大げさじゃなくていい。","false","false","","","false","離れて暮らす母・父を、無理なく見守る方法を発信しています。
https://www.oyamimamori.jp/app/","ソフト誘導。本文にリンクは入れず、リプライにサイト/appを記載。"
"x_20260627_1","2026-06-27","X","morning_empathy","08:10","子どもが「おばあちゃんは?」と聞いてくる。
そういえば最近、母と話していない。
孫のひとことが、連絡のきっかけになる朝。","false","false","","","false","","テキストのみ／画像なし／リプライなし。"
"x_20260627_2","2026-06-27","X","practical_tip","12:15","親の見守りを、一人で抱え込まない。
兄弟で「気づいたことを共有するだけ」のゆるい連絡をつくると、ぐっと楽になる。","false","false","","","false","","テキストのみ／画像なし／リプライなし。"
