"post_id","date","platform","post_type","recommended_time","post_text","image_needed","canva_needed","canva_prompt","image_filename","link_required","reply_text","note"
"x_20260622_01","2026-06-22","X","empathy_text","18:30","親はいつまでも親のままだと、どこかで思っていた。
久しぶりに聞いた声が少し小さくなっていて、はっとした。
会えるうちに、もう少しだけ話しておきたい。","false","false","","","false","","テキストのみ／画像なし／リプライなし。強い1行目の共感投稿。"
"x_20260622_02","2026-06-22","X","emotional_painting","20:30","父が、電話に出ない。
たぶん風呂か、テレビに夢中なだけ。
わかっているのに、コール音が長いと、少しだけ落ち着かない。
離れているって、こういうことなんだな。","true","true","夜の都市の部屋で40〜50代がスマホの発信画面を見て少し心配。遠景の実家では父が静かな部屋でお茶、または窓際で過ごす。何も起きていないが離れているゆえの小さな不安。温かい光で親子がつながる。上品な日本向け絵画調・映画的な温かい光・深緑/薄緑/クリーム/暖色。文字・ロゴなし、医療介護感なし。1080x1080。","03_chichi_denwa_denai_yoru.png","false","離れて暮らす母・父を、無理なく見守る方法を、少しずつ発信しています。","画像添付: 03_chichi_denwa_denai_yoru.png ／ 詳細: canva-prompts/03_chichi_denwa_denai_yoru_prompt.md ／ リプライはリンクなしの共感ひとこと。"
"x_20260622_03","2026-06-22","X","empathy_text","22:30","「用事がないと電話しちゃいけない」なんて、誰も言っていないのに。
用がなくてもかけていいんだと気づいたのは、わりと最近のことだ。","false","false","","","false","","テキストのみ／画像なし／リプライなし。短めの共感投稿。"
"x_20260623_01","2026-06-23","X","empathy_text","08:10","「おはよう」を送れる相手がいるのは、けっこうすごいことだ。
実家の母に、今朝もスタンプをひとつ。
返ってくる「おはよう」で、こちらの一日も始まる。","false","false","","","false","","テキストのみ／画像なし／リプライなし。朝の共感投稿。"
"x_20260623_02","2026-06-23","X","practical_tip","10:30","親との連絡は、「質問」より「報告」がいい。
「元気?」より「今日は天気がいいよ」。
聞かれると答える義務が生まれるけれど、報告なら気楽に続く。","false","false","","","false","","テキストのみ／画像なし／リプライなし。実用ヒント。"
"x_20260623_03","2026-06-23","X","checklist","12:15","離れて暮らす親と、最後に話したのはいつ?
・今週、声を聞いた
・先週までさかのぼる
・思い出せない

下にいくほど、今夜あたりが電話の頃合いです。","false","false","","","false","","テキストのみ／画像なし／リプライなし。軽いトーンのチェックリスト。"
"x_20260623_04","2026-06-23","X","empathy_text","15:30","親の「大丈夫」は、半分は気づかいでできている。
本当に平気なときも、少し無理しているときも、母は「大丈夫」と言う。
だから、声のトーンだけは聞き逃したくない。","false","false","","","false","","テキストのみ／画像なし／リプライなし。共感投稿。"
"x_20260623_05","2026-06-23","X","empathy_text","18:30","実家の電話番号は、今でも諳んじている。
携帯の短縮番号より先に、指が覚えている番号。
かける回数は減っても、あの番号だけは忘れない。","false","false","","","false","","テキストのみ／画像なし／リプライなし。郷愁系の共感投稿。"
"x_20260623_06","2026-06-23","X","emotional_painting","20:30","夜、実家の窓に灯りがついているのを見ると、なぜだかほっとする。
今日も、変わらず暮らしている。
その当たり前が、いちばんありがたい。","true","true","夜、実家の窓に温かい灯り。離れて暮らす子ども世代がスマホを手に、ふと実家を思い出す。家の中で母または父が穏やかに過ごす様子をやわらかく。見守りは監視でなく気にかける習慣だと伝わる。上品な日本向け絵画調・映画的な温かい光・深緑/薄緑/クリーム/暖色。文字・ロゴなし、医療介護感なし。1080x1080。","04_jikka_no_akari.png","false","離れて暮らす母・父を、無理なく見守る方法を、少しずつ発信しています。","画像添付: 04_jikka_no_akari.png ／ 詳細: canva-prompts/04_jikka_no_akari_prompt.md ／ リプライはリンクなしの共感ひとこと。"
"x_20260623_07","2026-06-23","X","app_cta","22:30","毎日電話したい気持ちはあるけれど、現実はなかなかむずかしい。
そんな人どうしで、無理なく続けられる見守り方を探しています。
「今日も元気」のひとことを、気軽に渡し合えたら。","false","false","","","true","離れて暮らす母・父を、無理なく見守る方法を発信しています。
https://www.oyamimamori.jp/app/","本日唯一のapp導線。リンクは本文に入れずリプライのみ。宣伝色を抑え『見守り方の紹介』として。"
