"post_id","date","platform","post_type","recommended_time","post_text","image_needed","canva_needed","canva_prompt","image_filename","link_required","reply_text","note"
"x_buzz02_01","順次（バズ最優先・リンクなし）","X","hook","22:30","「既読」がつかない夜は、なんであんなに長いんだろう。
スマホを伏せて、また裏返して、画面を見る。
ただ寝ているだけ、ってわかってるのに。","false","false","","","false","","リンクなし・宣伝なし。リーチ最優先"
"x_buzz02_02","順次（バズ最優先・リンクなし）","X","quote","21:30","親の「大丈夫」は、たいてい
こっちに心配をかけないための「大丈夫」だ。
それを知ってから、言葉の裏側まで聞くようになった。","false","false","","","false","","リンクなし・宣伝なし。リーチ最優先"
"x_buzz02_03","順次（バズ最優先・リンクなし）","X","question","20:15","実家に電話するの、つい後回しにしちゃう人いる?
「明日でいいか」が積み重なって、
気づけば三週間。
みんな、どうやって続けてる?","false","false","","","false","","リンクなし・宣伝なし。リーチ最優先"
"x_buzz02_04","順次（バズ最優先・リンクなし）","X","story","23:15","夜、ふと窓の外を見たら大きな月が出ていた。
たぶん、実家でも同じ月が見えてる。
それだけで、少しそばにいる気がした。","false","false","","","false","","リンクなし・宣伝なし。リーチ最優先"
"x_buzz02_05","順次（バズ最優先・リンクなし）","X","aruaru","12:15","うちの母あるある。
・電話に出ると第一声が「どうしたの!?」
・用がないと言うと「なんだ」と笑う
・最後は必ず「ちゃんと食べてる?」
こっちを心配してくるのは、いつも親のほう。","false","false","","","false","","リンクなし・宣伝なし。リーチ最優先"
"x_buzz02_06","順次（バズ最優先・リンクなし）","X","hook","22:30","父が電話に出ない。
二回、三回とかけ直すうちに、手が少し冷たくなる。
四回目で出た父は、ただ庭にいただけだった。
この数分の不安、慣れる日は来るのかな。","false","false","","","false","","リンクなし・宣伝なし。リーチ最優先"
"x_buzz02_07","順次（バズ最優先・リンクなし）","X","quote","08:10","親孝行って、たぶん大げさなものじゃない。
「今日寒いね」って送るだけで、
もう半分くらいは果たせている気がする。","false","false","","","false","","リンクなし・宣伝なし。リーチ最優先"
"x_buzz02_08","順次（バズ最優先・リンクなし）","X","story","21:30","帰省の朝、玄関で母が「気をつけてね」と三回言った。
一回でいいのに、と昔は思っていた。
今は、その三回が全部ありがたい。","false","false","","","false","","リンクなし・宣伝なし。リーチ最優先"
"x_buzz02_09","順次（バズ最優先・リンクなし）","X","hook","23:15","「心配しすぎ」と言われるのが、ちょっと怖い。
だから本当の不安は、いつも飲み込んでしまう。
でも、心配するって悪いことじゃないよね。","false","false","","","false","","リンクなし・宣伝なし。リーチ最優先"
"x_buzz02_10","順次（バズ最優先・リンクなし）","X","question","20:15","離れて暮らす親の様子、どうやって把握してる?
こまめに電話?きょうだいと共有?
「見えない」のがいちばん落ち着かない。","false","false","","","false","","リンクなし・宣伝なし。リーチ最優先"
"x_buzz02_11","順次（バズ最優先・リンクなし）","X","quote","16:45","「元気?」のひとことで安心できるなら、
それは十分に意味のある連絡だと思う。
中身がなくていい。声が無事ならそれでいい。","false","false","","","false","","リンクなし・宣伝なし。リーチ最優先"
"x_buzz02_12","順次（バズ最優先・リンクなし）","X","hook","22:30","電話の「あ、もしもし」が、いつもより半拍遅い。
それだけで、何かあった?と身構えてしまう。
離れていると、声の小さな変化に妙に敏感になる。","false","false","","","false","","リンクなし・宣伝なし。リーチ最優先"
"x_buzz02_13","順次（バズ最優先・リンクなし）","X","story","21:30","実家の冷蔵庫を開けたら、私の好物だけが妙に多かった。
「いつ帰るか分からないのに」と言いながら、
母はずっと、私の分を用意していたんだと思う。","false","false","","","false","","リンクなし・宣伝なし。リーチ最優先"
"x_buzz02_14","順次（バズ最優先・リンクなし）","X","quote","08:10","見守るというのは、見張ることじゃない。
ドアの外で耳をすますことでもない。
ただ「今日も無事でいてくれた」と、静かに安心することだ。","false","false","","","false","","リンクなし・宣伝なし。リーチ最優先"
"x_buzz02_15","順次（バズ最優先・リンクなし）","X","hook","23:15","親が年をとるスピードは、会わない間にだけ速くなる気がする。
半年ぶりに見た背中が、思っていたより小さかった。
だから、特別じゃない今日に、連絡しておきたい。","false","false","","","false","","リンクなし・宣伝なし。リーチ最優先"
