"post_id","platform","post_type","recommended_time","post_text","image_needed","image_prompt","link_required","reply_text","note"
"x_20260621_01","X","empathy_text","08:10","実家を出て、もう何年になるだろう。
「元気?」と送れば「元気だよ」と返ってくる。
ただそれだけのことが、こんなに安心するなんて、若い頃は思いもしなかった。
今朝も、母にひとことだけ送ってみる。","false","","false","","本文のみ／画像なし／リプライなし。朝の共感投稿。"
"x_20260621_02","X","practical_tip","10:30","離れた親と連絡を続けるコツは、「用件がなくても送る」こと。
天気の話でも、夕飯の写真でもいい。
“安否確認のための連絡”だと、お互い少し身構えてしまうから。
なんでもない一言を、気軽に。","false","","false","","本文のみ／画像なし／リプライなし。実用ヒント。"
"x_20260621_03","X","checklist","12:15","離れて暮らす親に、できているかな。
・週に一度は声を聞いている
・緊急時の連絡先を家族で共有している
・親のスマホの充電習慣を知っている

全部そろわなくて当たり前。ひとつ思い出せたら、それで十分です。","false","","false","","本文のみ／画像なし／リプライなし。昼のチェックリスト。"
"x_20260621_04","X","empathy_text","14:30","「忙しいだろうから」と、親はなかなか電話してこない。
こちらも「元気だろう」と、つい後回しにする。
お互いに遠慮しているうちに、気づけば一か月。
声が聞きたい気持ちは、たぶん同じなのにね。","false","","false","","本文のみ／画像なし／リプライなし。すれ違いの共感。"
"x_20260621_05","X","practical_tip","16:45","親に新しい道具を勧めるときは、
「私が使いたいから、一緒にやってみよう」と誘うとうまくいく。
「心配だから」だと、年寄り扱いされた気がして、つい身構えてしまうもの。
見守りは、対等なくらいがちょうどいい。","false","","false","","本文のみ／画像なし／リプライなし。実用ヒント（別角度）。"
"x_20260621_06","X","emotional_painting","18:30","仕事帰りの電車。
スマホに「今日も大丈夫」の通知がひとつ届いていた。
たったそれだけで、肩の力がふっと抜ける夜がある。
離れていても通じ合えるのは、こんな小さな言葉からなのかもしれない。","true","夜の都市部の部屋で40〜50代の子ども世代がスマホを見つめ、画面に小さく『今日も大丈夫』。遠景に実家のような日本家屋と温かい灯り。親子をつなぐやさしい光の線。映画的で温かい光、上品な日本向け絵画調。深緑・薄緑・クリーム・暖色。文字/ロゴなし、医療・介護感なし。1080x1080。","false","","画像添付: 01_kyoumo_daijoubu.png ／ 詳細プロンプト: canva-prompts/01_kyoumo_daijoubu_prompt.md ／ リプライなし。共感・リポスト狙い。"
"x_20260621_07","X","empathy_text","20:15","実家に電話して、母の「もしもし」がいつもより少し遅いと、胸がひやりとする。
なんてことはない、ただ庭にいただけ。
その「なんてことない」を、毎回そっと確かめられたらいいのに。","false","","false","","本文のみ／画像なし／リプライなし。『返信がない不安』テーマ。"
"x_20260621_08","X","emotional_painting","21:30","同じ月を、たぶん父も見ている。
隣にいなくても、気にかけている。
見守るというのは、監視することじゃなくて、
「元気でいてね」と静かに願い続けること、なんだと思う。","true","左に都市で暮らす子ども世代、右に実家で静かに過ごす母または父。距離はあるが柔らかい光でつながる構図。見守りは監視ではなく家族を想う小さな習慣であることが伝わる。映画的で温かい光、上品な日本向け絵画調。深緑・薄緑・クリーム・暖色。文字/ロゴなし、医療・介護感なし。1080x1080。","false","","画像添付: 02_hanareteitemo_kinikaketeiru.png ／ 詳細プロンプト: canva-prompts/02_hanareteitemo_kinikaketeiru_prompt.md ／ リプライなし。ブランドの核（見守り=監視ではない）。"
"x_20260621_09","X","app_cta","22:30","毎日電話するのは、正直むずかしい。
でも「今日も元気」のひとことだけなら、お互い負担にならない。
そんな、さりげない見守りの習慣を続けるための方法を、編集部でまとめてみました。","false","","true","離れて暮らす親の見守りについては、こちらにまとめています。
https://www.oyamimamori.jp/app/","本日唯一のapp導線。リンクは本文に入れずリプライのみ。画像なし。"
"x_20260621_10","X","checklist","23:15","眠る前に、ひとつだけ。
・今日、親の声か顔に触れた?
・触れていないなら、明日の朝いちばんに

返事は急がなくていい。気にかけている、それだけで伝わるものがある。","false","","false","","本文のみ／画像なし／リプライなし。一日の締めの静かなチェックリスト。"
