"category","reader_problem","product_type","selection_criteria","avoid_claims","article_angle","priority","notes"
"防災グッズ","実家の備えが十分か不安","防災セット・防災ライト・携帯トイレ","セット内容・収納性・更新のしやすさ・必要十分か","「これで絶対安全」などの保証表現","離れて暮らす親のための防災グッズチェックリスト","high","既存記事 jishin-bousai-checklist と連携／開示必須"
"モバイルバッテリー","停電・災害時に親が連絡できるか","大容量バッテリー・乾電池式充電器","容量(mAh)・出力(W)・残量表示・操作の簡単さ・PSEマーク","「必ず連絡できる」と断定","実家に置くモバイルバッテリーと充電の備え","high","teiden-tsushin と連携／充電＝連絡維持で/app併記"
"非常食","何をどれだけ置くか分からない","長期保存食・保存水・調理不要食","賞味期限・調理不要・量・好み・アレルギー表示","健康効果の断定","実家に備える非常食の選び方（ローリングストック）","medium","量を煽らない／開示必須"
"実家の防災用品","家具転倒・停電が不安","家具固定具・感震ブレーカー・防災ライト","設置の手軽さ・対応家具・電源不要か・賃貸可","「危険だから今すぐ」と煽る","実家の地震対策グッズ（賃貸でも使える）","medium","不安煽りNG"
"親が使いやすいスマホ周辺機器","充電・操作・画面が見えにくい","充電スタンド・太めケーブル・タッチペン・拡大レンズ","大きさ・見やすさ・差し込みの簡単さ・対応端末","「高齢者は必ず必要」と断定","親が使いやすいスマホ周辺機器","high","kourei-tsukaiyasui-app と連携／アプリ導入を楽に"
"見守りカメラ","親の様子が見えない／監視は避けたい","屋内カメラ（双方向通話つき）","画質・通知・プライバシー配慮・本人の同意・録画方式","監視を推奨／不安を煽る","見守りカメラを選ぶ前に家族で決めておきたいこと","high","「監視ではなく安心の確認」「本人の同意」を必須明記"
"GPSタグ","外出時の居場所が心配","見守りGPS端末","電池持ち・通知・対応OS・月額","居場所の常時監視を煽る","もしもの外出に備えるGPS（プライバシー配慮）","medium","本人同意・監視でない旨を明記"
"スマートタグ","鍵や財布の紛失が多い","紛失防止スマートタグ","電池・対応OS・探索範囲・通知音","居場所の常時監視に転用を勧める","親の「探し物」を減らすスマートタグ","low","見守りとは別用途として正直に説明"
"スマートスピーカー","連絡・通話を簡単にしたい","スマートスピーカー（画面つき含む）","通話のしやすさ・声操作・初期設定・画面の有無","「これで安心」と断定","親の連絡を楽にするスマートスピーカー","medium","kourei-oya-communication と連携"
"家族連絡に役立つサービス","連絡や近況共有が続かない","写真共有・デジタルフォトフレーム・家族アプリ","使いやすさ・料金・親世代への優しさ","過度な比較煽り","家族でシェアする連絡・写真サービス","low","安否は/app、近況はサービスと役割分担"
"親向けスマホ講座/通信サービス","スマホが不安・料金が心配","シニア向けスマホ講座・通信プラン","料金・サポート・店舗の有無・乗り換え条件","不要な乗り換えを煽る","親向けスマホ講座・通信サービスの選び方","medium","アプリ導入のハードルを下げる文脈で"
