"post_id","date","time","post_type","post_text","image_needed","canva_prompt","link_needed","link_url","reply_text","note","first_line_hook","empathy_score","repost_potential","ad_smell_risk","approval_recommendation"
"x_bb_d01_1","2026-06-28","08:10","本音共感","母からの返信が、昼を過ぎても来ない。
仕事の手を止めて、また画面を見てしまう。
大丈夫だと分かってる。
その「分かってる」が、いちばん効かない。","false","","false","","","リンクなし・宣伝なし。最有力バズ候補","5","5","5","1","approve"
"x_bb_d01_2","2026-06-28","12:15","本音共感","既読がつかない時間って、なんでこんなに長く感じるんだろう。
5分が、1時間くらいに思える。
親のことになると、時間の進み方が変わる。","false","","false","","","リンクなし・宣伝なし。最有力バズ候補","5","5","5","1","approve"
"x_bb_d01_3","2026-06-28","16:45","研究所メモ","親みまもり研究所メモ。
離れて暮らす親への心配は、“親が弱いから”ではなく“様子が見えないから”起きる。
要るのは監視じゃなく、小さな確認の習慣。","false","","false","","","メモ型は引きが弱く自動キュー非推奨。フィードの“軸”として手動で使う","3","4","3","2","reject"
"x_bb_d01_4","2026-06-28","20:15","本音共感","「返信遅くてごめん」と母から来た。
こっちは何時間も心配していたのに、
向こうは普通に畑にいただけ。
この温度差に、毎回ひとりで疲れている。","false","","false","","","リンクなし・宣伝なし。最有力バズ候補","5","5","5","1","approve"
"x_bb_d01_5","2026-06-28","22:30","本音共感","母の既読がつかない。
もう一度送ろうか、迷ってやめる。
「しつこい」と思われたくない。
でも本当は、もう一度送りたい。","false","","false","","","リンクなし。良いが上位20に未選出（手動運用可）","4","4","3","1","revise"
"x_bb_d02_1","2026-06-29","08:10","本音共感","返ってきたスタンプ一つで、肩の力が抜ける。
中身なんてなくていい。
「生きてる」が伝われば、それでいいと思う自分がいる。","false","","false","","","リンクなし。良いが上位20に未選出（手動運用可）","4","4","3","1","revise"
"x_bb_d02_2","2026-06-29","12:15","本音共感","父からの着信に、一瞬どきっとした。
父が自分から電話してくるなんて、めったにない。
出たら「間違えた」と。
なんだそれ、と笑って、少しほっとした。","false","","false","","","リンクなし。良いが上位20に未選出（手動運用可）","4","4","3","1","revise"
"x_bb_d02_3","2026-06-29","16:45","研究所メモ","親みまもり研究所メモ。
「元気?」が言いづらいのは、仲が悪いからじゃない。
近すぎて、照れるから。
近さは、ときどき言葉の邪魔をする。","false","","false","","","メモ型は引きが弱く自動キュー非推奨。フィードの“軸”として手動で使う","3","4","3","2","reject"
"x_bb_d02_4","2026-06-29","20:15","本音共感","父に電話。コール音が10回鳴って、切る。
風呂か、テレビか、ただ気づいていないだけ。
分かっているのに、もう一度かけてしまう。","false","","false","","","リンクなし。良いが上位20に未選出（手動運用可）","4","4","3","1","revise"
"x_bb_d02_5","2026-06-29","22:30","本音共感","父は「元気にやってるか」としか聞かない。
こっちの近況は、母づてに全部知っているくせに。
不器用な人。
その不器用さが、たまにこたえる。","false","","false","","","リンクなし・宣伝なし。最有力バズ候補","5","5","5","1","approve"
"x_bb_d03_1","2026-06-30","08:10","本音共感","電話に出た父の声が、思ったより小さかった。
「元気だよ」の元気が、少し足りない気がした。
気のせいだといい。","false","","false","","","リンクなし。良いが上位20に未選出（手動運用可）","4","4","3","1","revise"
"x_bb_d03_2","2026-06-30","12:15","本音共感","既読がつかないまま夜になる。
何かあったわけじゃない、と自分に言い聞かせる。
でも布団に入っても、つい画面をつけてしまう。","false","","false","","","リンクなし。良いが上位20に未選出（手動運用可）","4","4","3","1","revise"
