type,target,metric,value,suggestion,priority
app_cta_weak,/app/,clicks,app view 11 / store click 0,/app のストアボタンを上部にも配置・文言を強化,high
faq_candidate,コミュニケーション 高齢 者,impressions,6,「コミュニケーション 高齢 者」のFAQ（Q&A）を該当記事に追加し強調スニペット狙い,low
internal_link_candidate,コミュニケーション 高齢 者,-,-,「コミュニケーション 高齢 者」に関連する既存記事から該当ページへ内部リンクを追加,low
new_article_theme,コミュニケーション 高齢 者,-,-,「コミュニケーション 高齢 者」の検索意図に特化した新規記事を検討,low
faq_candidate,安否確認アプリ,impressions,5,「安否確認アプリ」のFAQ（Q&A）を該当記事に追加し強調スニペット狙い,low
internal_link_candidate,安否確認アプリ,-,-,「安否確認アプリ」に関連する既存記事から該当ページへ内部リンクを追加,low
new_article_theme,安否確認アプリ,-,-,「安否確認アプリ」の検索意図に特化した新規記事を検討,low
faq_candidate,安否確認 アプリ,impressions,4,「安否確認 アプリ」のFAQ（Q&A）を該当記事に追加し強調スニペット狙い,low
internal_link_candidate,安否確認 アプリ,-,-,「安否確認 アプリ」に関連する既存記事から該当ページへ内部リンクを追加,low
new_article_theme,安否確認 アプリ,-,-,「安否確認 アプリ」の検索意図に特化した新規記事を検討,low
faq_candidate,見守り おすすめアプリ,impressions,4,「見守り おすすめアプリ」のFAQ（Q&A）を該当記事に追加し強調スニペット狙い,low
internal_link_candidate,見守り おすすめアプリ,-,-,「見守り おすすめアプリ」に関連する既存記事から該当ページへ内部リンクを追加,low
new_article_theme,見守り おすすめアプリ,-,-,「見守り おすすめアプリ」の検索意図に特化した新規記事を検討,low
faq_candidate,高齢者見守りサービス おすすめ,impressions,3,「高齢者見守りサービス おすすめ」のFAQ（Q&A）を該当記事に追加し強調スニペット狙い,low
internal_link_candidate,高齢者見守りサービス おすすめ,-,-,「高齢者見守りサービス おすすめ」に関連する既存記事から該当ページへ内部リンクを追加,low
new_article_theme,高齢者見守りサービス おすすめ,-,-,「高齢者見守りサービス おすすめ」の検索意図に特化した新規記事を検討,low
faq_candidate,intitle:プライバシーポリシー,impressions,2,「intitle:プライバシーポリシー」のFAQ（Q&A）を該当記事に追加し強調スニペット狙い,low
internal_link_candidate,intitle:プライバシーポリシー,-,-,「intitle:プライバシーポリシー」に関連する既存記事から該当ページへ内部リンクを追加,low
new_article_theme,intitle:プライバシーポリシー,-,-,「intitle:プライバシーポリシー」の検索意図に特化した新規記事を検討,low
faq_candidate,安否確認サービス 無料,impressions,2,「安否確認サービス 無料」のFAQ（Q&A）を該当記事に追加し強調スニペット狙い,low
internal_link_candidate,安否確認サービス 無料,-,-,「安否確認サービス 無料」に関連する既存記事から該当ページへ内部リンクを追加,low
new_article_theme,安否確認サービス 無料,-,-,「安否確認サービス 無料」の検索意図に特化した新規記事を検討,low
faq_candidate,生存確認サービス 独身 無料 その他,impressions,2,「生存確認サービス 独身 無料 その他」のFAQ（Q&A）を該当記事に追加し強調スニペット狙い,low
internal_link_candidate,生存確認サービス 独身 無料 その他,-,-,「生存確認サービス 独身 無料 その他」に関連する既存記事から該当ページへ内部リンクを追加,low
new_article_theme,生存確認サービス 独身 無料 その他,-,-,「生存確認サービス 独身 無料 その他」の検索意図に特化した新規記事を検討,low
faq_candidate,いかのおすし 保育園 伝え方,impressions,1,「いかのおすし 保育園 伝え方」のFAQ（Q&A）を該当記事に追加し強調スニペット狙い,low
internal_link_candidate,いかのおすし 保育園 伝え方,-,-,「いかのおすし 保育園 伝え方」に関連する既存記事から該当ページへ内部リンクを追加,low
new_article_theme,いかのおすし 保育園 伝え方,-,-,「いかのおすし 保育園 伝え方」の検索意図に特化した新規記事を検討,low
faq_candidate,一人暮らし 見守りサービス 無料,impressions,1,「一人暮らし 見守りサービス 無料」のFAQ（Q&A）を該当記事に追加し強調スニペット狙い,low
internal_link_candidate,一人暮らし 見守りサービス 無料,-,-,「一人暮らし 見守りサービス 無料」に関連する既存記事から該当ページへ内部リンクを追加,low
new_article_theme,一人暮らし 見守りサービス 無料,-,-,「一人暮らし 見守りサービス 無料」の検索意図に特化した新規記事を検討,low
