"post_id","date","platform","post_type","recommended_time","post_text","image_needed","canva_needed","canva_prompt","image_filename","link_required","reply_text","note"
"x_buzz_01","順次（バズ最優先・リンクなし）","X","hook","08:10","親が年をとったことを、まだ認めたくない自分がいる。
声が少し小さくなった。歩くのが少し遅くなった。
見ないふりをしているのは、たぶん私のほうだ。","false","false","","","false","","リンクなし・宣伝なし。リーチ最優先。反応の良い型を翌週に増やす"
"x_buzz_02","順次（バズ最優先・リンクなし）","X","quote","21:30","離れて暮らすというのは、
親のことを思い出す回数が増える、ということだった。","false","false","","","false","","リンクなし・宣伝なし。リーチ最優先。反応の良い型を翌週に増やす"
"x_buzz_03","順次（バズ最優先・リンクなし）","X","hook","22:30","母からの返信が半日来ないだけで、
頭の中では最悪のことばかり考えてしまう。
——ただ、出かけていただけ。
この繰り返しに少し疲れている人、私だけじゃないと思う。","false","false","","","false","","リンクなし・宣伝なし。リーチ最優先。反応の良い型を翌週に増やす"
"x_buzz_04","順次（バズ最優先・リンクなし）","X","hook","12:15","「親孝行しなきゃ」と思った日ほど、
忙しくて電話できない。
そして、罪悪感だけが残る。
…完璧じゃなくていいんだよね、きっと。","false","false","","","false","","リンクなし・宣伝なし。リーチ最優先。反応の良い型を翌週に増やす"
"x_buzz_05","順次（バズ最優先・リンクなし）","X","question","20:15","みんな、親とどれくらいの頻度で連絡してる?
毎日?週に一度?それとも、用があるときだけ?
正解がなくて、いつも少し迷う。","false","false","","","false","","リンクなし・宣伝なし。リーチ最優先。反応の良い型を翌週に増やす"
"x_buzz_06","順次（バズ最優先・リンクなし）","X","story","20:15","帰省の最終日、車で実家を出るとき。
ミラーの中で、ずっと手を振る母が小さくなっていく。
あの景色だけは、何年経っても慣れない。","false","false","","","false","","リンクなし・宣伝なし。リーチ最優先。反応の良い型を翌週に増やす"
"x_buzz_07","順次（バズ最優先・リンクなし）","X","quote","21:30","見守りは、監視とは違う。
「ちゃんとしているか確認する」んじゃなくて、
「元気でいてね」と、ただ願い続けること。","false","false","","","false","","リンクなし・宣伝なし。リーチ最優先。反応の良い型を翌週に増やす"
"x_buzz_08","順次（バズ最優先・リンクなし）","X","story","19:00","父は、用がないと電話してこない。
だから父から着信があると、一瞬どきっとする。
「どうした?」「いや、声が聞きたかっただけ」
——そういう父であってほしい、ずっと。","false","false","","","false","","リンクなし・宣伝なし。リーチ最優先。反応の良い型を翌週に増やす"
"x_buzz_09","順次（バズ最優先・リンクなし）","X","aruaru","12:15","実家あるある。
・冷蔵庫に賞味期限切れ
・同じ話を三回
・「元気、元気」しか言わない
・帰るたび「痩せた?」と聞かれる
心配の半分は、たぶん愛情。","false","false","","","false","","リンクなし・宣伝なし。リーチ最優先。反応の良い型を翌週に増やす"
"x_buzz_10","順次（バズ最優先・リンクなし）","X","quote","08:10","電話の向こうの「もしもし」だけで、
その日の親の調子が、なんとなく分かる。
言葉より、声のトーン。
離れているからこそ、耳がよくなる。","false","false","","","false","","リンクなし・宣伝なし。リーチ最優先。反応の良い型を翌週に増やす"
"x_buzz_11","順次（バズ最優先・リンクなし）","X","hook","22:30","毎日電話したい。でも毎日はできない。
この「でも」の部分に、
みんな少しずつ、罪悪感を抱えている気がする。","false","false","","","false","","リンクなし・宣伝なし。リーチ最優先。反応の良い型を翌週に増やす"
"x_buzz_12","順次（バズ最優先・リンクなし）","X","hook","23:15","親が元気なうちに、と思う。
でも「元気なうち」が、いつまでなのかは分からない。
だから、特別な日じゃなくていい。
今日、ひとことだけ送ってみる。","false","false","","","false","","リンクなし・宣伝なし。リーチ最優先。反応の良い型を翌週に増やす"
