page,clicks,impressions,ctr,position
https://www.oyamimamori.jp/,2,4,0.5,2
https://www.oyamimamori.jp/articles/,2,4,0.5,3
https://www.oyamimamori.jp/about/,1,4,0.25,4
https://www.oyamimamori.jp/contact/,1,3,0.3333,5
https://www.oyamimamori.jp/privacy/,1,6,0.1667,108.5
https://www.oyamimamori.jp/app,0,2,0,3.5
https://www.oyamimamori.jp/articles/anpi-kakunin-app-towa/,0,10,0,29.2
https://www.oyamimamori.jp/articles/hanarete-kurasu-oya-mimamori/,0,5,0,85.6
https://www.oyamimamori.jp/articles/kodomo-bouhan-taisaku,0,1,0,74
https://www.oyamimamori.jp/articles/kodomo-toukou-mimamori/,0,2,0,7.5
https://www.oyamimamori.jp/articles/kourei-oya-communication,0,6,0,73.83
https://www.oyamimamori.jp/articles/mimamori-app-service-chigai/,0,4,0,90
https://www.oyamimamori.jp/articles/mimamori-service-erabikata/,0,4,0,81
https://www.oyamimamori.jp/articles/muryou-anpi-kakunin-app/,0,7,0,39.71
https://www.oyamimamori.jp/articles/oya-anpi-kakunin-mainichi/,0,4,0,13.5
https://www.oyamimamori.jp/articles/rollcall-dekirukoto/,0,2,0,5
https://www.oyamimamori.jp/categories/app-guide/,0,1,0,91
